id,value
ich,546
das,440
german,388
podcast,383
den,373
es,371
auf,365
er,357
mehr,320
slow,316
bahn,311
nicht,290
auch,275
ihr,274
mit,260
ein,258
eine,214
um,212
man,210
followers,204
sind,200
sg,194
gibt,183
dann,166
am,165
im,158
sich,157
einen,156
so,156
you,155
the,153
wenn,152
aber,151
annik,150
an,150
wir,148
mail,144
deutschland,140
zum,140
sie,136
oder,136
deine,133
wird,131
noch,130
dass,129
hat,122
and,121
valentin,119
is,116
menschen,112
wein,112
aus,111
kann,107
episode,107
hier,97
diese,92
rubens,90
to,89
wie,88
kommentar,88
adresse,88
deutsch,86
als,86
pdf,84
kommentare,84
also,83
bei,79
for,79
war,79
are,78
vor,77
pumuckl,77
habe,76
heute,74
lernen,72
your,72
natürlich,70
einer,70
premium,69
mich,69
diesen,68
if,66
keine,65
muss,63
gut,63
karl,63
haben,63
beginner,62
oktober,61
viel,58
einem,58
deutsche,57
beziehung,57
bundespräsident,56
dem,56
nur,56
ähnliche,56
mann,56
trinken,54
of,54
